type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2020-12-13 15:44:59,50.75608667,7.03547457,4,101.486,,1.760,139,,36,,
T,2020-12-13 15:45:00,50.75607521,7.03549167,4,101.673,,1.670,138,,36,,
T,2020-12-13 15:45:01,50.75606407,7.03550909,4,101.635,,1.670,135,,36,,
T,2020-12-13 15:45:02,50.75605253,7.03552869,4,101.296,,1.700,134,,36,,
T,2020-12-13 15:45:03,50.75603952,7.03554660,4,101.357,,1.800,138,,36,,
T,2020-12-13 15:45:04,50.75602575,7.03556389,4,101.604,,1.800,140,,36,,
T,2020-12-13 15:45:05,50.75601306,7.03558281,4,101.519,,1.760,136,,36,,
T,2020-12-13 15:45:06,50.75600214,7.03559964,4,101.252,,1.680,134,,36,,
T,2020-12-13 15:45:07,50.75599138,7.03561540,4,101.364,,1.670,139,,36,,
T,2020-12-13 15:45:08,50.75598028,7.03563135,4,101.317,,1.700,136,,36,,
T,2020-12-13 15:45:09,50.75596968,7.03564867,4,101.579,,1.690,137,,36,,
T,2020-12-13 15:45:10,50.75595822,7.03566519,4,101.861,,1.690,138,,36,,
T,2020-12-13 15:45:11,50.75594711,7.03568083,4,102.222,,1.670,136,,36,,
T,2020-12-13 15:45:12,50.75593511,7.03569765,4,102.465,,1.720,136,,36,,
T,2020-12-13 15:45:13,50.75592291,7.03571109,4,102.655,,1.680,139,,36,,
T,2020-12-13 15:45:14,50.75591156,7.03572756,4,102.785,,1.670,136,,36,,
T,2020-12-13 15:45:15,50.75590063,7.03574266,4,102.574,,1.630,137,,36,,
T,2020-12-13 15:45:16,50.75588996,7.03575779,4,102.725,,1.640,136,,36,,
T,2020-12-13 15:45:17,50.75587886,7.03577427,4,102.467,,1.710,134,,36,,
T,2020-12-13 15:45:18,50.75586721,7.03579097,4,102.685,,1.690,136,,36,,
T,2020-12-13 15:45:19,50.75585757,7.03580798,4,102.625,,1.640,129,,36,,
T,2020-12-13 15:45:20,50.75584731,7.03582486,4,102.425,,1.650,133,,36,,
T,2020-12-13 15:45:21,50.75583519,7.03583854,4,102.223,,1.620,141,,36,,
T,2020-12-13 15:45:22,50.75582317,7.03585232,4,102.254,,1.590,140,,36,,
T,2020-12-13 15:45:23,50.75581199,7.03586641,4,101.757,,1.600,136,,36,,
T,2020-12-13 15:45:24,50.75580105,7.03588374,4,101.521,,1.610,133,,36,,
T,2020-12-13 15:45:25,50.75579164,7.03590017,4,101.275,,1.570,137,,36,,
T,2020-12-13 15:45:26,50.75578075,7.03591334,4,101.098,,1.620,141,,36,,
T,2020-12-13 15:45:27,50.75577178,7.03592679,4,100.946,,1.480,138,,36,,
T,2020-12-13 15:45:28,50.75576200,7.03594017,4,101.140,,1.560,140,,36,,
T,2020-12-13 15:45:29,50.75575257,7.03595863,4,100.308,,1.610,140,,36,,
T,2020-12-13 15:45:30,50.75574249,7.03597718,4,100.512,,1.610,136,,36,,
T,2020-12-13 15:45:31,50.75573099,7.03599303,4,101.131,,1.620,137,,36,,
T,2020-12-13 15:45:32,50.75571985,7.03600875,4,101.266,,1.640,139,,36,,
T,2020-12-13 15:45:33,50.75570871,7.03602529,4,101.100,,1.630,138,,36,,
T,2020-12-13 15:45:34,50.75569788,7.03604157,4,100.877,,1.630,135,,36,,
T,2020-12-13 15:45:35,50.75568612,7.03605339,4,101.257,,1.570,142,,36,,
T,2020-12-13 15:45:36,50.75567367,7.03606458,4,101.242,,1.640,145,,36,,
T,2020-12-13 15:45:37,50.75566322,7.03607903,4,101.406,,1.560,141,,36,,
T,2020-12-13 15:45:38,50.75565261,7.03609367,4,101.306,,1.570,137,,36,,
T,2020-12-13 15:45:39,50.75564084,7.03610833,4,101.437,,1.620,138,,36,,
T,2020-12-13 15:45:40,50.75563044,7.03612452,4,101.158,,1.640,136,,36,,
T,2020-12-13 15:45:41,50.75562052,7.03614175,4,101.395,,1.580,136,,36,,
T,2020-12-13 15:45:42,50.75560901,7.03615739,4,101.345,,1.630,137,,36,,
T,2020-12-13 15:45:43,50.75559731,7.03617300,4,101.312,,1.650,136,,36,,
T,2020-12-13 15:45:44,50.75558624,7.03618858,4,101.346,,1.640,132,,36,,
T,2020-12-13 15:45:45,50.75557396,7.03620528,4,101.344,,1.650,141,,36,,
T,2020-12-13 15:45:46,50.75556251,7.03622263,4,101.431,,1.570,135,,36,,
T,2020-12-13 15:45:47,50.75555074,7.03623928,4,101.531,,1.620,136,,36,,
T,2020-12-13 15:45:48,50.75554018,7.03625449,4,101.520,,1.600,134,,36,,
T,2020-12-13 15:45:49,50.75552919,7.03626794,4,101.609,,1.630,138,,36,,
T,2020-12-13 15:45:50,50.75551688,7.03628077,4,101.960,,1.620,142,,36,,
T,2020-12-13 15:45:51,50.75550416,7.03629486,4,101.984,,1.660,141,,36,,
T,2020-12-13 15:45:52,50.75549126,7.03631011,4,101.976,,1.650,141,,36,,
T,2020-12-13 15:45:53,50.75548020,7.03632562,4,101.662,,1.590,139,,36,,
T,2020-12-13 15:45:54,50.75547048,7.03634090,4,101.238,,1.580,141,,36,,
T,2020-12-13 15:45:55,50.75546082,7.03635596,4,101.416,,1.610,138,,36,,
T,2020-12-13 15:45:56,50.75545033,7.03636932,4,101.629,,1.570,140,,36,,
T,2020-12-13 15:45:57,50.75543821,7.03638304,4,101.782,,1.660,137,,36,,
T,2020-12-13 15:45:58,50.75542625,7.03639721,4,102.099,,1.670,139,,36,,
T,2020-12-13 15:45:59,50.75541434,7.03641273,4,102.360,,1.690,141,,36,,
T,2020-12-13 15:46:00,50.75540229,7.03642744,4,103.091,,1.660,143,,36,,
T,2020-12-13 15:46:01,50.75539031,7.03644242,4,103.216,,1.650,140,,36,,
T,2020-12-13 15:46:02,50.75537904,7.03645798,4,102.989,,1.620,138,,36,,
T,2020-12-13 15:46:03,50.75536624,7.03647196,4,103.331,,1.690,141,,36,,
T,2020-12-13 15:46:04,50.75535298,7.03648553,4,103.521,,1.700,139,,36,,
T,2020-12-13 15:46:05,50.75534057,7.03650007,4,103.515,,1.670,138,,36,,
T,2020-12-13 15:46:06,50.75532782,7.03651689,4,103.458,,1.670,140,,36,,
T,2020-12-13 15:46:07,50.75531584,7.03653336,4,103.530,,1.630,140,,36,,
T,2020-12-13 15:46:08,50.75530554,7.03654831,4,102.965,,1.620,143,,36,,
T,2020-12-13 15:46:09,50.75529622,7.03656607,4,102.260,,1.640,139,,36,,
T,2020-12-13 15:46:10,50.75528806,7.03658638,4,101.895,,1.630,137,,36,,
T,2020-12-13 15:46:11,50.75527870,7.03660586,4,101.610,,1.700,141,,36,,
T,2020-12-13 15:46:12,50.75527070,7.03662875,4,101.322,,1.630,136,,36,,
T,2020-12-13 15:46:13,50.75526225,7.03664983,4,101.426,,1.560,133,,36,,
T,2020-12-13 15:46:14,50.75525275,7.03666926,4,101.779,,1.610,138,,36,,
T,2020-12-13 15:46:15,50.75524163,7.03668712,4,102.104,,1.710,141,,36,,
T,2020-12-13 15:46:16,50.75523068,7.03670246,4,101.933,,1.650,139,,36,,
T,2020-12-13 15:46:17,50.75521944,7.03671690,4,101.539,,1.670,140,,36,,
T,2020-12-13 15:46:18,50.75520759,7.03672983,4,101.568,,1.590,141,,36,,
T,2020-12-13 15:46:19,50.75519664,7.03674550,4,101.067,,1.690,133,,36,,
T,2020-12-13 15:46:20,50.75518610,7.03676081,4,101.175,,1.590,137,,36,,
T,2020-12-13 15:46:21,50.75517398,7.03677727,4,101.462,,1.580,142,,36,,
T,2020-12-13 15:46:22,50.75516211,7.03679269,4,101.705,,1.500,142,,36,,
T,2020-12-13 15:46:23,50.75515048,7.03681132,4,101.925,,1.660,138,,36,,
T,2020-12-13 15:46:24,50.75513999,7.03682834,4,101.795,,1.580,141,,36,,
T,2020-12-13 15:46:25,50.75513137,7.03684332,4,101.597,,1.570,142,,36,,
T,2020-12-13 15:46:26,50.75512248,7.03685727,4,101.546,,1.630,138,,36,,
T,2020-12-13 15:46:27,50.75511027,7.03687096,4,101.594,,1.560,141,,36,,
T,2020-12-13 15:46:28,50.75509944,7.03688718,4,101.732,,1.580,139,,36,,
T,2020-12-13 15:46:29,50.75508980,7.03690582,4,101.476,,1.620,133,,36,,
T,2020-12-13 15:46:30,50.75507948,7.03692254,4,101.759,,1.600,136,,36,,
T,2020-12-13 15:46:31,50.75506998,7.03693867,4,101.643,,1.600,135,,36,,
T,2020-12-13 15:46:32,50.75506096,7.03695618,4,101.694,,1.570,135,,36,,
T,2020-12-13 15:46:33,50.75505019,7.03697139,4,102.131,,1.640,138,,36,,
T,2020-12-13 15:46:34,50.75503999,7.03699006,4,101.763,,1.640,135,,36,,
T,2020-12-13 15:46:35,50.75502992,7.03700605,4,101.731,,1.610,137,,36,,
T,2020-12-13 15:46:36,50.75501979,7.03702295,4,101.337,,1.640,137,,36,,
T,2020-12-13 15:46:37,50.75500830,7.03703889,4,101.323,,1.610,147,,36,,
T,2020-12-13 15:46:38,50.75499771,7.03705439,4,101.243,,1.620,138,,36,,
T,2020-12-13 15:46:39,50.75498650,7.03706847,4,101.240,,1.590,141,,36,,
T,2020-12-13 15:46:40,50.75497664,7.03708614,4,101.192,,1.640,130,,36,,
T,2020-12-13 15:46:41,50.75496540,7.03710156,4,101.043,,1.630,136,,36,,
T,2020-12-13 15:46:42,50.75495326,7.03711392,4,101.099,,1.590,141,,36,,
T,2020-12-13 15:46:43,50.75494253,7.03712920,4,101.261,,1.610,134,,36,,
T,2020-12-13 15:46:44,50.75493137,7.03714180,4,101.380,,1.600,140,,36,,
T,2020-12-13 15:46:45,50.75492110,7.03715573,4,101.540,,1.640,135,,36,,
T,2020-12-13 15:46:46,50.75491205,7.03717063,4,101.372,,1.570,130,,36,,
T,2020-12-13 15:46:47,50.75490215,7.03718500,4,101.652,,1.590,132,,36,,
T,2020-12-13 15:46:48,50.75489140,7.03720063,4,101.735,,1.650,134,,36,,
T,2020-12-13 15:46:49,50.75488089,7.03721504,4,101.544,,1.540,136,,36,,
T,2020-12-13 15:46:50,50.75487059,7.03723290,4,101.351,,1.620,135,,36,,
T,2020-12-13 15:46:51,50.75485950,7.03724957,4,101.131,,1.590,143,,36,,
T,2020-12-13 15:46:52,50.75484682,7.03726653,4,100.744,,1.610,145,,36,,
T,2020-12-13 15:46:53,50.75483571,7.03728270,4,101.161,,1.550,139,,36,,
T,2020-12-13 15:46:54,50.75482454,7.03729911,4,101.213,,1.620,143,,36,,
T,2020-12-13 15:46:55,50.75481277,7.03731426,4,101.065,,1.630,142,,36,,
T,2020-12-13 15:46:56,50.75480133,7.03732866,4,100.903,,1.610,144,,36,,
T,2020-12-13 15:46:57,50.75479064,7.03734316,4,101.127,,1.570,137,,36,,
T,2020-12-13 15:46:58,50.75477980,7.03735692,4,101.588,,1.520,143,,36,,
T,2020-12-13 15:46:59,50.75476886,7.03736943,4,101.398,,1.630,139,,36,,
T,2020-12-13 15:47:00,50.75475942,7.03738604,4,101.525,,1.620,138,,36,,
T,2020-12-13 15:47:01,50.75475042,7.03740104,4,101.403,,1.510,137,,36,,
T,2020-12-13 15:47:02,50.75474042,7.03741694,4,101.598,,1.600,136,,36,,
T,2020-12-13 15:47:03,50.75473122,7.03743324,4,101.587,,1.500,132,,36,,
T,2020-12-13 15:47:04,50.75472101,7.03744960,4,101.708,,1.570,133,,36,,
T,2020-12-13 15:47:05,50.75471097,7.03746584,4,101.646,,1.530,132,,36,,
T,2020-12-13 15:47:06,50.75470048,7.03748021,4,101.749,,1.540,137,,36,,
T,2020-12-13 15:47:07,50.75468978,7.03749455,4,102.055,,1.580,138,,36,,
T,2020-12-13 15:47:08,50.75467905,7.03750736,4,102.219,,1.570,141,,36,,
T,2020-12-13 15:47:09,50.75466872,7.03752115,4,102.601,,1.560,139,,36,,
T,2020-12-13 15:47:10,50.75465823,7.03753503,4,103.240,,1.570,140,,36,,
T,2020-12-13 15:47:11,50.75464830,7.03755113,4,102.927,,1.510,140,,36,,
T,2020-12-13 15:47:12,50.75463786,7.03756738,4,102.801,,1.600,139,,36,,
T,2020-12-13 15:47:13,50.75462865,7.03758336,4,102.496,,1.500,138,,36,,
T,2020-12-13 15:47:14,50.75461981,7.03760402,4,102.402,,1.520,137,,36,,
T,2020-12-13 15:47:15,50.75460984,7.03762029,4,102.352,,1.520,141,,36,,
T,2020-12-13 15:47:16,50.75459985,7.03763678,4,102.224,,1.570,137,,36,,
T,2020-12-13 15:47:17,50.75458964,7.03765262,4,101.913,,1.570,139,,36,,
T,2020-12-13 15:47:18,50.75457923,7.03766800,4,101.803,,1.540,139,,36,,
T,2020-12-13 15:47:19,50.75456889,7.03768501,4,102.026,,1.560,139,,36,,
T,2020-12-13 15:47:20,50.75455798,7.03770090,4,101.964,,1.630,139,,36,,
T,2020-12-13 15:47:21,50.75454820,7.03771824,4,102.280,,1.660,138,,36,,
T,2020-12-13 15:47:22,50.75453913,7.03773290,4,102.716,,1.550,138,,36,,
T,2020-12-13 15:47:23,50.75453026,7.03774892,4,103.220,,1.640,135,,36,,
T,2020-12-13 15:47:24,50.75452013,7.03776273,4,103.645,,1.610,141,,36,,
T,2020-12-13 15:47:25,50.75450965,7.03777798,4,103.477,,1.590,138,,36,,
T,2020-12-13 15:47:26,50.75450079,7.03779429,4,104.430,,1.550,134,,36,,
T,2020-12-13 15:47:27,50.75449142,7.03781106,4,104.656,,1.570,136,,36,,
T,2020-12-13 15:47:28,50.75448218,7.03782834,4,103.211,,1.610,133,,36,,
T,2020-12-13 15:47:29,50.75447107,7.03784459,4,104.066,,1.610,139,,36,,
T,2020-12-13 15:47:30,50.75445948,7.03786123,4,104.348,,1.670,136,,36,,
T,2020-12-13 15:47:31,50.75444934,7.03788021,4,104.091,,1.660,136,,36,,
T,2020-12-13 15:47:32,50.75444005,7.03789749,4,103.879,,1.530,136,,36,,
T,2020-12-13 15:47:33,50.75443112,7.03791580,4,103.990,,1.550,132,,36,,
T,2020-12-13 15:47:34,50.75442072,7.03793296,4,104.060,,1.590,134,,36,,
T,2020-12-13 15:47:35,50.75440921,7.03794790,4,103.751,,1.600,137,,36,,
T,2020-12-13 15:47:36,50.75439818,7.03796264,4,104.170,,1.570,135,,36,,
T,2020-12-13 15:47:37,50.75438803,7.03797929,4,103.958,,1.590,136,,36,,
T,2020-12-13 15:47:38,50.75437694,7.03799324,4,103.201,,1.570,143,,36,,
T,2020-12-13 15:47:39,50.75436521,7.03800888,4,103.948,,1.630,141,,36,,
T,2020-12-13 15:47:40,50.75435502,7.03802613,4,104.453,,1.590,136,,36,,
T,2020-12-13 15:47:41,50.75434481,7.03804264,4,105.106,,1.580,135,,36,,
T,2020-12-13 15:47:42,50.75433406,7.03805831,4,105.141,,1.590,139,,36,,
T,2020-12-13 15:47:43,50.75432417,7.03807389,4,105.176,,1.500,136,,36,,
T,2020-12-13 15:47:44,50.75431274,7.03808783,4,104.806,,1.530,141,,36,,
T,2020-12-13 15:47:45,50.75430247,7.03810457,4,105.084,,1.560,134,,36,,
T,2020-12-13 15:47:46,50.75429288,7.03811936,4,104.708,,1.480,134,,36,,
T,2020-12-13 15:47:47,50.75428250,7.03813414,4,104.926,,1.550,138,,36,,
T,2020-12-13 15:47:48,50.75427279,7.03815034,4,105.192,,1.550,133,,36,,
T,2020-12-13 15:47:49,50.75426341,7.03816737,4,105.141,,1.580,130,,36,,
T,2020-12-13 15:47:50,50.75425477,7.03818467,4,106.249,,1.480,127,,36,,
T,2020-12-13 15:47:51,50.75424617,7.03820385,4,106.587,,1.550,128,,36,,
T,2020-12-13 15:47:52,50.75423775,7.03822155,4,106.420,,1.560,127,,36,,
T,2020-12-13 15:47:53,50.75422857,7.03823649,4,106.409,,1.650,135,,36,,
T,2020-12-13 15:47:54,50.75422085,7.03825540,4,106.076,,1.620,128,,36,,
T,2020-12-13 15:47:55,50.75421355,7.03827429,4,104.600,,1.660,132,,36,,
T,2020-12-13 15:47:56,50.75420579,7.03829059,4,104.801,,1.590,131,,36,,
T,2020-12-13 15:47:57,50.75419906,7.03830718,4,105.111,,1.530,125,,36,,
T,2020-12-13 15:47:58,50.75419052,7.03832776,4,105.472,,1.750,123,,36,,
T,2020-12-13 15:47:59,50.75418387,7.03834934,4,105.481,,1.630,120,,36,,
T,2020-12-13 15:48:00,50.75417836,7.03837046,4,105.227,,1.610,116,,36,,
T,2020-12-13 15:48:01,50.75417296,7.03839159,4,105.786,,1.680,118,,36,,
T,2020-12-13 15:48:02,50.75416980,7.03841402,4,105.895,,1.580,111,,36,,
T,2020-12-13 15:48:03,50.75416867,7.03843954,4,106.190,,1.590,105,,36,,
T,2020-12-13 15:48:04,50.75416463,7.03846213,4,105.929,,1.610,115,,36,,
T,2020-12-13 15:48:05,50.75415533,7.03847894,4,105.762,,1.550,136,,36,,
T,2020-12-13 15:48:06,50.75414589,7.03849555,4,105.976,,1.450,127,,36,,
T,2020-12-13 15:48:07,50.75413502,7.03851327,4,106.444,,1.560,132,,36,,
T,2020-12-13 15:48:08,50.75412544,7.03853145,4,106.177,,1.520,130,,36,,
T,2020-12-13 15:48:09,50.75411395,7.03854829,4,105.988,,1.580,140,,36,,
T,2020-12-13 15:48:10,50.75410188,7.03856365,4,105.391,,1.570,141,,36,,
T,2020-12-13 15:48:11,50.75408990,7.03857818,4,104.936,,1.580,145,,36,,
T,2020-12-13 15:48:12,50.75407793,7.03858994,4,104.515,,1.530,148,,36,,
T,2020-12-13 15:48:13,50.75406766,7.03859949,4,103.959,,1.340,148,,36,,
T,2020-12-13 15:48:14,50.75405709,7.03860963,4,104.354,,1.420,144,,36,,
T,2020-12-13 15:48:15,50.75404554,7.03862073,4,105.114,,1.480,141,,36,,
T,2020-12-13 15:48:16,50.75403391,7.03863215,4,105.404,,1.560,142,,36,,
T,2020-12-13 15:48:17,50.75402251,7.03864287,4,105.474,,1.520,145,,36,,
T,2020-12-13 15:48:18,50.75401241,7.03865555,4,105.277,,1.390,142,,36,,
T,2020-12-13 15:48:19,50.75400040,7.03866699,4,105.481,,1.550,144,,36,,
T,2020-12-13 15:48:20,50.75398723,7.03867999,4,105.749,,1.550,149,,36,,
T,2020-12-13 15:48:21,50.75397412,7.03869218,4,105.400,,1.570,147,,36,,
T,2020-12-13 15:48:22,50.75395999,7.03870288,4,105.587,,1.630,152,,36,,
T,2020-12-13 15:48:23,50.75394843,7.03871708,4,105.625,,1.640,133,,36,,
T,2020-12-13 15:48:24,50.75393499,7.03872758,4,105.233,,1.620,151,,36,,
T,2020-12-13 15:48:25,50.75392181,7.03873602,4,105.039,,1.520,155,,36,,
T,2020-12-13 15:48:26,50.75390953,7.03874785,4,105.343,,1.490,147,,36,,
T,2020-12-13 15:48:27,50.75389685,7.03875646,4,105.046,,1.500,156,,36,,
T,2020-12-13 15:48:28,50.75388478,7.03876661,4,104.849,,1.520,145,,36,,
T,2020-12-13 15:48:29,50.75387020,7.03876814,4,105.258,,1.610,167,,36,,
T,2020-12-13 15:48:30,50.75385637,7.03877026,4,105.192,,1.480,170,,36,,
T,2020-12-13 15:48:31,50.75384037,7.03877423,4,105.076,,1.490,171,,36,,
T,2020-12-13 15:48:32,50.75382430,7.03877366,4,104.810,,1.510,180,,36,,
T,2020-12-13 15:48:33,50.75380909,7.03877650,4,104.862,,1.590,168,,36,,
T,2020-12-13 15:48:34,50.75379527,7.03877701,4,104.731,,1.520,172,,36,,
T,2020-12-13 15:48:35,50.75378087,7.03877549,4,104.955,,1.570,180,,36,,
T,2020-12-13 15:48:36,50.75376666,7.03878139,4,104.840,,1.580,168,,36,,
T,2020-12-13 15:48:37,50.75375376,7.03878920,4,105.217,,1.550,160,,36,,
T,2020-12-13 15:48:38,50.75374129,7.03879531,4,105.167,,1.510,162,,36,,
T,2020-12-13 15:48:39,50.75372868,7.03880183,4,105.358,,1.480,161,,36,,
T,2020-12-13 15:48:40,50.75371669,7.03880886,4,105.612,,1.470,158,,36,,
T,2020-12-13 15:48:41,50.75370495,7.03881655,4,106.142,,1.460,156,,36,,
T,2020-12-13 15:48:42,50.75369193,7.03882789,4,107.272,,1.620,153,,36,,
T,2020-12-13 15:48:43,50.75368088,7.03884248,4,107.185,,1.600,153,,36,,
T,2020-12-13 15:48:44,50.75366895,7.03885452,4,106.749,,1.550,149,,36,,
T,2020-12-13 15:48:45,50.75365503,7.03886414,4,107.577,,1.670,162,,36,,
T,2020-12-13 15:48:46,50.75364154,7.03887277,4,107.651,,1.620,160,,36,,
T,2020-12-13 15:48:47,50.75362924,7.03888346,4,107.790,,1.510,150,,36,,
T,2020-12-13 15:48:48,50.75361746,7.03889742,4,106.789,,1.640,144,,36,,
T,2020-12-13 15:48:49,50.75360523,7.03891245,4,106.972,,1.600,144,,36,,
T,2020-12-13 15:48:50,50.75359075,7.03892799,4,107.198,,1.720,148,,36,,
T,2020-12-13 15:48:51,50.75357800,7.03894202,4,107.434,,1.620,147,,36,,
T,2020-12-13 15:48:52,50.75356678,7.03895984,4,107.333,,1.610,148,,36,,
T,2020-12-13 15:48:53,50.75355636,7.03897655,4,107.181,,1.550,140,,36,,
T,2020-12-13 15:48:54,50.75354529,7.03899573,4,107.124,,1.690,143,,36,,
T,2020-12-13 15:48:55,50.75353201,7.03901204,4,107.065,,1.770,150,,36,,
T,2020-12-13 15:48:56,50.75352052,7.03902956,4,106.856,,1.690,138,,36,,
T,2020-12-13 15:48:57,50.75350916,7.03904624,4,106.890,,1.690,138,,36,,
T,2020-12-13 15:48:58,50.75349799,7.03906376,4,107.128,,1.700,132,,36,,
T,2020-12-13 15:48:59,50.75348630,7.03907964,4,107.273,,1.750,134,,36,,
T,2020-12-13 15:49:00,50.75347609,7.03909338,4,105.565,,1.610,136,,36,,
T,2020-12-13 15:49:01,50.75346568,7.03910763,4,106.018,,1.640,138,,36,,
T,2020-12-13 15:49:02,50.75345390,7.03912164,4,106.342,,1.630,141,,36,,
T,2020-12-13 15:49:03,50.75344318,7.03913778,4,106.482,,1.620,140,,36,,
T,2020-12-13 15:49:04,50.75343314,7.03915668,4,106.488,,1.620,131,,36,,
T,2020-12-13 15:49:05,50.75342288,7.03917411,4,106.372,,1.640,131,,36,,
T,2020-12-13 15:49:06,50.75341296,7.03919139,4,106.523,,1.630,129,,36,,
T,2020-12-13 15:49:07,50.75340455,7.03921178,4,106.132,,1.670,120,,36,,
T,2020-12-13 15:49:08,50.75339674,7.03923237,4,106.514,,1.620,116,,36,,
T,2020-12-13 15:49:09,50.75338530,7.03925268,4,107.253,,1.870,129,,36,,
T,2020-12-13 15:49:10,50.75337666,7.03927253,4,107.521,,1.670,124,,36,,
T,2020-12-13 15:49:11,50.75337034,7.03929315,4,107.076,,1.650,118,,36,,
T,2020-12-13 15:49:12,50.75336402,7.03931308,4,107.172,,1.610,122,,36,,
T,2020-12-13 15:49:13,50.75335861,7.03933468,4,107.546,,1.630,115,,36,,
T,2020-12-13 15:49:14,50.75335173,7.03935309,4,107.476,,1.580,126,,36,,
T,2020-12-13 15:49:15,50.75334537,7.03937290,4,107.813,,1.670,123,,36,,
T,2020-12-13 15:49:16,50.75333811,7.03939165,4,108.403,,1.650,127,,36,,
T,2020-12-13 15:49:17,50.75333127,7.03940991,4,107.805,,1.480,123,,36,,
T,2020-12-13 15:49:18,50.75332297,7.03942887,4,107.429,,1.640,125,,36,,
T,2020-12-13 15:49:19,50.75331460,7.03944901,4,107.553,,1.620,124,,36,,
T,2020-12-13 15:49:20,50.75330779,7.03946834,4,107.905,,1.550,116,,36,,
T,2020-12-13 15:49:21,50.75329978,7.03948862,4,108.134,,1.540,127,,36,,
T,2020-12-13 15:49:22,50.75328881,7.03950627,4,108.062,,1.710,135,,36,,
T,2020-12-13 15:49:23,50.75327708,7.03951881,4,107.904,,1.540,149,,36,,
T,2020-12-13 15:49:24,50.75326481,7.03953313,4,107.966,,1.620,144,,36,,
T,2020-12-13 15:49:25,50.75325365,7.03954959,4,107.613,,1.620,138,,36,,
T,2020-12-13 15:49:26,50.75324247,7.03956730,4,107.176,,1.650,133,,36,,
T,2020-12-13 15:49:27,50.75323014,7.03958433,4,107.576,,1.780,140,,36,,
T,2020-12-13 15:49:28,50.75322055,7.03960322,4,107.407,,1.630,127,,36,,
T,2020-12-13 15:49:29,50.75321109,7.03962139,4,107.175,,1.630,131,,36,,
T,2020-12-13 15:49:30,50.75320303,7.03964113,4,106.978,,1.630,125,,36,,
T,2020-12-13 15:49:31,50.75319544,7.03966426,4,106.782,,1.680,117,,36,,
T,2020-12-13 15:49:32,50.75319102,7.03969138,4,107.201,,1.690,102,,36,,
T,2020-12-13 15:49:33,50.75318716,7.03971725,4,107.325,,1.670,106,,36,,
T,2020-12-13 15:49:34,50.75317920,7.03973649,4,107.102,,1.500,129,,36,,
T,2020-12-13 15:49:35,50.75315982,7.03974076,4,106.869,,2.250,174,,36,,
T,2020-12-13 15:49:36,50.75314448,7.03974762,4,106.952,,1.640,162,,36,,
T,2020-12-13 15:49:37,50.75312829,7.03975908,4,106.574,,1.860,157,,36,,
T,2020-12-13 15:49:38,50.75311219,7.03977904,4,105.831,,1.920,152,,36,,
T,2020-12-13 15:49:39,50.75309827,7.03979655,4,105.749,,1.810,148,,36,,
T,2020-12-13 15:49:40,50.75308714,7.03981088,4,105.602,,1.660,141,,36,,
T,2020-12-13 15:49:41,50.75308073,7.03983285,4,105.366,,1.700,127,,36,,
T,2020-12-13 15:49:42,50.75307796,7.03985718,4,106.084,,1.680,111,,36,,
T,2020-12-13 15:49:43,50.75308036,7.03988018,4,106.135,,1.540,96,,36,,
T,2020-12-13 15:49:44,50.75308256,7.03990536,4,105.340,,1.740,94,,36,,
T,2020-12-13 15:49:45,50.75308625,7.03992898,4,104.601,,1.660,87,,36,,
T,2020-12-13 15:49:46,50.75308860,7.03995189,4,104.613,,1.640,92,,36,,
T,2020-12-13 15:49:47,50.75309042,7.03997378,4,104.240,,1.560,88,,36,,
T,2020-12-13 15:49:48,50.75309269,7.03999719,4,103.963,,1.600,88,,36,,
T,2020-12-13 15:49:49,50.75309456,7.04002172,4,103.303,,1.570,91,,36,,
T,2020-12-13 15:49:50,50.75309764,7.04004601,4,103.831,,1.650,81,,36,,
T,2020-12-13 15:49:51,50.75309925,7.04007007,4,103.889,,1.640,87,,36,,
T,2020-12-13 15:49:52,50.75310074,7.04009558,4,104.077,,1.590,86,,36,,
T,2020-12-13 15:49:53,50.75310263,7.04011935,4,103.335,,1.580,86,,36,,
T,2020-12-13 15:49:54,50.75310335,7.04014352,4,102.864,,1.620,90,,36,,
T,2020-12-13 15:49:55,50.75310219,7.04016634,4,102.147,,1.590,92,,36,,
T,2020-12-13 15:49:56,50.75310172,7.04018946,4,101.819,,1.610,90,,36,,
T,2020-12-13 15:49:57,50.75310148,7.04021178,4,102.180,,1.610,93,,36,,
T,2020-12-13 15:49:58,50.75309991,7.04023601,4,102.378,,1.750,96,,36,,
T,2020-12-13 15:49:59,50.75309763,7.04025848,4,102.286,,1.640,95,,36,,
T,2020-12-13 15:50:00,50.75309342,7.04028081,4,102.880,,1.590,100,,36,,
T,2020-12-13 15:50:01,50.75308823,7.04030299,4,103.251,,1.640,108,,36,,
T,2020-12-13 15:50:02,50.75308056,7.04032449,4,103.591,,1.720,119,,36,,
T,2020-12-13 15:50:03,50.75307077,7.04034229,4,103.413,,1.640,125,,36,,
T,2020-12-13 15:50:04,50.75306150,7.04036178,4,103.807,,1.660,122,,36,,
T,2020-12-13 15:50:05,50.75304972,7.04037892,4,104.019,,1.690,134,,36,,
T,2020-12-13 15:50:06,50.75303663,7.04039219,4,103.437,,1.700,139,,36,,
T,2020-12-13 15:50:07,50.75302456,7.04040660,4,103.489,,1.610,136,,36,,
