X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
7.044651,50.756841,0,0,69,101.228179,2020/09/13 14:45:47.535+00,,,,,,,,,,,,,,,,,,,,,
7.044772,50.756936,0,0,70,101.488978,2020/09/13 14:45:50.530+00,,,,,,,,,,,,,,,,,,,,,
7.044893,50.757033,0,0,71,101.75312,2020/09/13 14:45:53.535+00,,,,,,,,,,,,,,,,,,,,,
7.045013,50.757131,0,0,72,102.018113,2020/09/13 14:45:56.521+00,,,,,,,,,,,,,,,,,,,,,
7.045123,50.757236,0,0,73,102.287386,2020/09/13 14:45:59.516+00,,,,,,,,,,,,,,,,,,,,,
7.045255,50.757342,0,0,74,102.575845,2020/09/13 14:46:02.527+00,,,,,,,,,,,,,,,,,,,,,
7.045384,50.757439,0,0,75,102.846821,2020/09/13 14:46:05.526+00,,,,,,,,,,,,,,,,,,,,,
7.04547,50.757543,0,0,76,103.097721,2020/09/13 14:46:08.519+00,,,,,,,,,,,,,,,,,,,,,
7.045583,50.757642,0,0,77,103.358754,2020/09/13 14:46:11.509+00,,,,,,,,,,,,,,,,,,,,,
7.045691,50.75775,0,0,78,103.631939,2020/09/13 14:46:14.527+00,,,,,,,,,,,,,,,,,,,,,
7.045787,50.757857,0,0,79,103.894944,2020/09/13 14:46:17.534+00,,,,,,,,,,,,,,,,,,,,,
7.045888,50.757964,0,0,80,104.16135,2020/09/13 14:46:20.529+00,,,,,,,,,,,,,,,,,,,,,
7.045975,50.75807,0,0,81,104.416666,2020/09/13 14:46:24.532+00,,,,,,,,,,,,,,,,,,,,,
7.046077,50.758147,0,0,82,104.631419,2020/09/13 14:46:31.527+00,,,,,,,,,,,,,,,,,,,,,
7.046117,50.758254,0,0,83,104.86646,2020/09/13 14:46:52.520+00,,,,,,,,,,,,,,,,,,,,,
7.046243,50.758357,0,0,84,104.925794,2020/09/13 14:46:55.530+00,,,,,,,,,,,,,,,,,,,,,
7.04634,50.758434,0,0,85,104.941247,2020/09/13 14:46:57.512+00,,,,,,,,,,,,,,,,,,,,,
7.04644,50.758516,0,0,86,104.9575,2020/09/13 14:46:59.520+00,,,,,,,,,,,,,,,,,,,,,
7.046557,50.758602,0,0,87,104.975308,2020/09/13 14:47:01.519+00,,,,,,,,,,,,,,,,,,,,,
7.046682,50.758693,0,0,88,104.994228,2020/09/13 14:47:03.521+00,,,,,,,,,,,,,,,,,,,,,
7.046816,50.75878,0,0,89,105.013291,2020/09/13 14:47:05.526+00,,,,,,,,,,,,,,,,,,,,,
7.046952,50.758858,0,0,90,105.031517,2020/09/13 14:47:07.580+00,,,,,,,,,,,,,,,,,,,,,
7.047078,50.758945,0,0,91,105.050035,2020/09/13 14:47:09.527+00,,,,,,,,,,,,,,,,,,,,,
7.047195,50.75904,0,0,92,105.068935,2020/09/13 14:47:11.517+00,,,,,,,,,,,,,,,,,,,,,
7.047319,50.75913,0,0,93,105.087672,2020/09/13 14:47:13.521+00,,,,,,,,,,,,,,,,,,,,,
7.047437,50.759219,0,0,94,105.105902,2020/09/13 14:47:15.509+00,,,,,,,,,,,,,,,,,,,,,
